Gen,T4T,G,AC,AD
1,1133.0,1133.0,1005.0,1295.0
2,1078.0,1078.0,930.0,1195.0
3,1023.0,1023.0,855.0,1095.0
4,968.0,968.0,780.0,995.0
5,913.0,913.0,705.0,895.0
6,913.0,913.0,705.0,815.0
7,913.0,913.0,0.0,735.0
8,935.0,935.0,0.0,695.0
9,990.0,990.0,0.0,715.0
10,1045.0,1045.0,0.0,735.0
11,1100.0,1100.0,0.0,755.0
12,1155.0,1155.0,0.0,775.0
13,1210.0,1210.0,0.0,795.0
14,1265.0,1265.0,0.0,815.0
15,1320.0,1320.0,0.0,835.0
16,1375.0,1375.0,0.0,855.0
17,1430.0,1430.0,0.0,0.0
18,1485.0,1485.0,0.0,0.0
19,1485.0,1485.0,0.0,0.0
20,1485.0,1485.0,0.0,0.0
